Market Name,Market URL,Description of Market,Products in Market
Cloud Fax Solutions,https://www.gartner.com/reviews/market/cloud-fax-solutions,"Cloud fax supports sending and receiving faxes without the usual fax machines, phone lines, or on-premises digital fax server software. All fax communications are instead digitized and sent via the Internet Protocol (IP) network to the cloud before routing to the analog fax machines and fax-enabled printers connected to the telephone and IP networks or, indeed, to cloud-based fax recipients. Cloud fax services allow enterprises to avoid on-premises telephony costs related to fax phone lines or IT costs to support the on-premises fax infrastructure.","['Retarus Cloud Fax Solutions', 'eFax', 'Concord Cloud Fax', 'etherFax']"
"Cloud HCM Suites for 1,000+ Employee Enterprises",https://www.gartner.com/reviews/market/cloud-hcm-suites-for-1000-employees,"Gartner defines cloud HCM suites for 1,000+ employee enterprises as cloud application suites that deliver functionality for attracting, developing, engaging, retaining and managing workers.
The core functional capabilities of cloud HCM suites for enterprises with more than 1,000 employees include:
Administrative HR — Employee data, organization structure, employment life cycle transaction, role-based self-service, payroll and benefits administration. It may also include absence management, health and safety administration and other value-added capabilities.
Talent management — Recruiting, onboarding, performance management, compensation planning, career and succession planning, and learning and skills development.
Integrated HR service management (IHRSM) — Personalized direct access to policy, procedure and program guidance for employees and managers. It may also include integrated case management, knowledge bases, digital document management, virtual assistants and workflow management.","['SAP SuccessFactors HXM Suite', 'Workday Human Capital Management', 'Ceridian Dayforce', 'Darwinbox', 'PeopleStrong', 'UKG Pro', 'ADP Workforce Now', 'BambooHR', 'Oracle Fusion Cloud HCM', 'ZingHR', 'Paylocity', 'Paycom', 'bob', 'UKG Ready', 'HROne', 'NEOGOV HRMS', 'Cornerstone', 'ADP Enterprise HR', 'Cegid Talentsoft', 'Rippling', 'isolved People Cloud', 'Zoho People', 'Vantage HCM', 'Mekari Talenta', 'SunFish Workplaze', 'Ramco Global Payroll', 'Infor Human Capital Management', 'Infinity Zucchetti', 'Namely', 'Adrenalin', 'HONO', 'Talentia HCM', 'greytHR', 'Microsoft Dynamics 365 Human Resources', 'iTrent', 'Sage People', 'Akrivia HCM', 'CDP', 'BrightHR', 'TechnologyOne Human Resource & Payroll (HRP)', 'ScopHR', 'API Healthcare Human Resources And Payroll (Legacy)', 'MiHCM', 'Sopra HR Software', 'IRIS Cascade HRi', 'Zellis HCM Cloud', 'Ascentis (Legacy)', 'Ascender HCM', 'HRMantra', 'Raet Youforce (Legacy)', 'peopleHum', 'PeopleXD', 'Vibe HCM (Legacy)', 'BIPO HRMS', 'Cosmo-hr', 'ELMO HR Core', 'HR System (HRMS)', 'International Comprehensive Human Resource Integrated Software', 'People365', 'Advanced HR', 'CGI Advantage', 'Chillsoft', 'ClayHR', 'DailyPay', 'Deltek Human Capital Management', 'HRIS1', 'Mentorloop', 'NEOGOV Personality', 'NuView HCM', 'PeoplesHR', 'Pocket HRMS', 'Quidgest Human Resources Management', 'SAPIENCE HRMS', 'Shiftee', 'goBetter']"
"Cloud HCM Suites for Regional and/or Sub-1,000 Employee Enterprises",https://www.gartner.com/reviews/market/cloud-hcm-suites-for-regional-and-or-sub-1000-employee-enterprises,"Gartner defines cloud HCM suites for regional and/or sub-1,000 employee enterprises as cloud application suites that deliver functionality for attracting, developing, engaging, retaining and managing workers. HCM suites encompass functionality that supports a variety of HR-related processes","['Oracle PeopleSoft', 'UKG Pro Workforce Management', 'HROne', 'ADP Workforce Now', 'greytHR', 'Zoho People', 'Ceridian Dayforce', 'ZingHR', 'Oracle E-Business Suite (Legacy)', 'Oracle Fusion Cloud HCM', 'Oracle JD Edwards', 'SAP HCM', 'Rippling', 'Adrenalin', '247HRM', 'Keka HR', 'Paycor Payroll', 'Freshteam', 'SumTotal', 'Vantage HCM', 'Infinity Zucchetti', 'Sympa', 'symplr Workforce', 'Epicor HCM', 'MiHCM', 'Infor Human Capital Management', 'Ramco Global Payroll', 'Sage People', 'Sopra HR Software', 'Unit4 Prosoft HRMS', 'CentraHub HCM', 'PeopleXD', 'Unit4 Human Capital Management (HCM)', 'ePROMIS FutureGen Enterprise Cloud', 'Ascender HCM', 'Avature', 'Pingboard', 'Octane', 'Talentia HCM', 'Protheus HCM (Legacy)', 'Mekari Talenta', 'ScopHR', 'Vibe HCM (Legacy)', 'Raet Youforce (Legacy)', 'SD Worx', 'Zellis HCM Cloud', 'Advanced HR', 'Asanify Platform', 'Compport', 'Cosmo-hr', 'HRIS1', 'HRMantra', 'Neeyamo', 'Network by Jitjatjo', 'PeopleSpheres', 'PeoplesHR', 'Performance Leader', 'Plum', 'Quidgest Human Resources Management', 'Quinyx', 'Steering Mass Salariale', 'Xceed365', 'factoHR', 'goBetter', 'iTrent']"
Cloud Management Tooling,https://www.gartner.com/reviews/market/cloud-management-tooling,"Cloud management tooling enables organizations to manage hybrid and multicloud (that is, on-premises, public cloud and edge) services and resources. This includes providing governance, life cycle management, brokering and automation for managed cloud infrastructure resources across multiple functional areas. The tooling can be procured and operated by central IT organizations, such as I&O, cloud center of excellence (CCOE) and platform engineering/operations, or within specific lines of business. It can be deployed on-premises, in a customer’s public cloud account or purchased as a SaaS.","['Azure Management Tools', 'Terraform Enterprise', 'Morpheus', 'Flexera Cloud Management Platform', 'IBM Turbonomic', 'VMware Aria Cost', 'Apptio Cloudability', 'SUSE Rancher', 'VMware Aria Automation', 'Nutanix Cloud Manager', 'ServiceNow IT Operations Management', 'CloudBolt', 'Connext Cloud Management Platform CMP', 'Workload Optimization Manager', 'CloudCheckr CMx', 'Platform9', 'Tanzu Observability', 'Harness Cloud Cost Management', 'CoreStack', 'Palette', 'Centilytics', 'Red Hat CloudForms', 'Symphony for SAP', 'VMware Tanzu Kubernetes Grid', 'Snow Commander', 'Nirmata Kubernetes Management Platform', 'IBM Cloud Private', 'Flexera One Cloud Cost Optimization', 'Rafay Kubernetes Operations Platform', 'HyperGrid HyperCloud Cloud Management Platform', 'Giant Swarm', 'Cloud Application Manager (Legacy)', 'Jamcracker', 'CloudCenter (Legacy)', 'OpenText Hybrid Cloud Management X (HCMX)', 'Abiquo', 'Anodot', 'CloudAware', 'TiOps', 'CAST Highlight', 'nOps', 'Cirrusform', 'DuploCloud', 'A10 Harmony Controller', 'LANCOM Management Cloud', 'HPE Cloud Service automation (CSA) for VMware (Legacy)', 'Pulumi', 'Flexera One Cloud Migration and Modernization', 'Platform9 Managed OpenStack (Legacy)', 'Spacelift', 'CloudPortal Business Manager', 'CloudVane', 'LANCOM Wireless LAN', 'LANCOM Wireless LAN Controllers', 'Aparavi', 'BMC Cloud Lifecycle Management (CLM) (Legacy)', 'CAST AI', 'CMP', 'Cloud Brokerage Service (Legacy)', 'Cloud connectivity', 'CloudSphere', 'Cloudify', 'Clouds Brain', 'Cloudsoft AMP', 'D2iQ Kubernetes Platform', 'IBM Cloud Orchestrator (Legacy)', 'Matrix Store', 'Migration and Modernization as a Service (MaaS)', 'PowerBoard', 'Qstack', 'RSA ID Plus', 'Rackware HCM', 'Turbot Enterprise', 'UnityOneCloud']"
Cloud Office Migration Tools,https://www.gartner.com/reviews/market/cloud-office-migration-tools,"""Cloud office migration"" refers to the process of consolidating and transferring a collection of workloads. Workloads can include emails, files, calendars, document types, related metadata, instant messages, applications, user permissions, compound structure and linked components. Migration of such workloads from at least one permanent on-premises platform or cloud office to a new cloud office environment, across a variety of similar product classes, is typical. During the migration process, enterprises will choose to cleanse their existing platforms by archiving old and outdated data. Migration tools are able to conduct an analysis of the respective workloads, identify if the data is deemed suitable for migration while maintaining its integrity, migrate the data between the source and target, and ensure governance in the subsequent platform.","['MigrationWiz', 'ShareGate Desktop', 'CloudFuze X-Change', 'Quest On Demand Migration', 'Cloudficient EVComplete', 'SysTools Lotus Notes to Office 365 Migration Tool', 'MSPComplete', 'Apps4.Pro Migration Manager', 'Binary Tree Notes Migrator - CMT', 'Binary Tree Power365', 'Binary Tree Active Directory Pro', 'Binary Tree Notes Integration - CMT', 'CodeTwo Office 365 Migration', 'Metalogix Content Matrix', 'AvePoint DocAve Migrator', 'Migrator for Notes to Exchange', 'SkyKick Migration Suites', 'Migrator for Notes to SharePoint', 'DryvIQ Platform', 'Cloudficient ES1Complete', 'Cloudficient PSTComplete', 'Metalogix Essentials for Office 365', 'Migration Accelerator', 'Migration Manager for Email Archives (Legacy)', 'Saketa SharePoint Migrator', 'Seascape for Notes', 'Transend Migrator (Legacy)', 'Binary Tree Exchange Pro', 'Cloud FastPath (Legacy)', 'CloudM Migrate', 'Migration Manager for Exchange', 'Cloud FLY', 'AvePoint Migration Platform', 'Cloudiway', 'Migration Manager for PSTs (Legacy)', 'Migrator Plus', 'Objective 3Sixty', 'SysTools Migrator', 'Xillio Content Migration']"
Cloud Security Posture Management Tools,https://www.gartner.com/reviews/market/cloud-security-posture-management-tools,"Cloud security posture management tools help in the identification and remediation of risks across cloud infrastructures, including Infrastructure as a Service (IaaS), Software as a Service (SaaS), and Platform as a Service (PaaS). These tools continuously assess the security posture across multi-cloud environments by maintaining a current inventory of the cloud assets for proactive analysis and risk assessment to detect any misconfigurations. Once these misconfigurations are identified, security controls are developed and implemented. CSPM solutions also integrate with DevOps tools, streamlining the incident response process and ensuring continuous compliance with regulatory requirements and security frameworks by providing visibility of the cloud environment’s security posture.","['Prisma Cloud', 'Trend Micro Cloud One', 'Microsoft Defender for Cloud', 'Wiz', 'CrowdStrike Falcon Cloud Security', 'Sysdig Secure', 'Lacework Polygraph Data Platform', 'CloudGuard Cloud Native Security platform', 'Tenable Cloud Security', 'InsightCloudSec', 'Zscaler Posture Control', 'Orca Security', 'PingSafe', 'Veza Access Control Platform', 'Sonrai Security', 'CloudDefense.AI', 'Runecast', 'Stacklet Platform', 'TrustOnCloud ThreatModels']"
Cloud Service Brokerage,https://www.gartner.com/reviews/market/cloud-service-brokerage,"""CSB serves as both an IT role and service business model, whereby a service provider or another entity adds value to one or more (public or private) cloud services on behalf of one or more consumers of those services. Value can be added via four primary roles:
      Aggregation
      Integration
      Customization
      Governance
A CSB provider supplies technology to take on some of the activities of the brokerage function, and offers combined technology, people, managed services and methodologies to implement and manage CSB-related projects and requirements.","['Minfy Cloud Service Brokerage', 'Wipro Digital Services Hub', 'MSPComplete', 'Arrow Electronics Cloud Brokerage Service Platforms', 'Atos Cloud Brokerage Services', 'ActivePlatform Cloud Brokerage Service Platforms', 'BT Cloud Brokerage Services', 'CloudFX Cloud Management Platform', 'Cloudmore Brokerage Platforms', 'DXC Hybrid Cloud and Multicloud', 'NEC Cloud Brokerage Suite (NCBS)', 'Pax8 Cloud Brokerage Services', 'iPortalis Control Portal']"
Cloud Web Application and API Protection,https://www.gartner.com/reviews/market/cloud-web-application-and-api-protection,"Gartner defines cloud WAAP as a category of security solutions designed to protect web applications irrespective of their hosted locations. Typically delivered as a service, cloud WAAP is offered as a series of security modules that provide protection from a broad range of runtime attacks. It offers protection from the Top 10 web application security risks defined by the Open Web Application Security Project (OWASP) and automated threats, provides API security, and can detect and protect against multiple sophisticated Layer 7 attacks targeted at web applications. Cloud WAAP’s core features include web application firewall (WAF), bot management, distributed denial of service (DDoS) mitigation and API protection.","['Imperva Cloud WAF', 'Cloudflare WAF', 'Fastly Next-Gen WAF', 'App & API Protector', 'AWS WAF', 'FortiWeb Web Application Firewall', 'Sucuri Website Firewall (WAF)', 'Citrix Web App Firewall', 'F5 BIG-IP Advanced Web Application Firewall', 'AppTrana', 'Radware Cloud WAF Service', 'Azure Web Application Firewall', 'Barracuda Application Platform', 'F5 Distributed Cloud WAF', 'UBIKA WAAP Gateway', 'Wallarm API Security Platform', 'Google Cloud Armor', 'NGINX App Protect WAF', 'The ThreatX Platform', 'Qualys Web Application Firewall', 'Silverline Web Application Firewall (WAF) (Legacy)', 'Airlock Secure Access Hub', 'Polaris WAAP', 'Oracle Cloud infrastructure WAF', 'SiteLock', 'Instart Web Performance (Legacy)', 'FortiWeb Cloud', 'Verizon WAF', 'Tencent Cloud Web Application Firewall', 'NSFOCUS Web Application Firewall', 'Alibaba Cloud Web Application Firewall (WAF)', 'Fastly WAF (Legacy)', 'A10 Thunder TPS (Threat Protection Systems)', 'Trustwave Managed Web Application Firewall (WAF) (Legacy)', 'UBIKA Cloud Protector', 'Huawei Cloud Web Application Firewall', 'Grey Wizard Shield', 'Tencent Cloud EdgeOne', 'PIOLINK WEBFRONT-K', 'Array ASF Series Web Application Firewall & DDoS', 'Azure Front Door', 'Haltdos Community WAF', 'Protector Web', 'Snapt Nova', 'AdNovum Nevis Security Suite (Legacy)', 'Cloudbric', 'Prophaze Web Security Platform', 'Intelligent Web Application Firewall (iWAF)', 'AIONCLOUD Website Protection', 'Akamai API Gateway (Legacy)', 'Ammune', 'Instart Web App and API Protection Platform (Legacy)', 'Mlytics', 'Peakhour CDN+', 'Reblaze', 'StormWall DDoS Protection for Websites']"
Cloud-Native Application Protection Platforms,https://www.gartner.com/reviews/market/cloud-native-application-protection-platforms,"Cloud-native application protection platforms (CNAPPs) are a unified and tightly integrated set of security and compliance capabilities designed to secure and protect cloud-native applications across development and production. CNAPPs consolidate a large number of previously siloed capabilities, including container scanning, cloud security posture management, infrastructure as code scanning, cloud infrastructure entitlement management, runtime cloud workload protection and runtime vulnerability/configuration scanning.","['Trend Micro Deep Security', 'Prisma Cloud', 'Singularity Cloud', 'Lacework Polygraph Data Platform', 'Sysdig Secure', 'Orca Security', 'Trend Micro Cloud One', 'Sophos Central', 'Wiz', 'Microsoft Defender for Cloud', 'CloudGuard Cloud Native Security platform', 'Akamai Guardicore Segmentation', 'Trellix Cloud Security', 'ColorTokens Xtended ZeroTrust Platform', 'Symantec Data Center Security', 'CloudGuard for Workload Protection', 'Druva Data Resiliency Cloud', 'PingSafe', 'Red Hat Advanced Cluster Security for Kubernetes', 'CrowdStrike Falcon Cloud Security', 'Virsec Security Platform', 'Skyhawk Synthesis Security Platform', 'CloudGuard CNAPP', 'Aqua Cloud Security Platform', 'Runecast', 'Symantec Cloud Workload Protection', 'CloudDefense.AI', 'Hillstone CloudHive Microsegmentation Solution', 'Calico Enterprise', 'Apcera platform (Legacy)', 'Snyk Cloud', 'AlgoSec Prevasio', 'Calico Cloud', 'Morphisec Unified Threat Prevention Platform (Legacy)', 'Uptycs Hybrid Cloud Security Platform', 'Caveonix Cloud', 'Sophos Cloud Optix', 'TrueFort Platform', 'Cloud Workload Protection Platform', 'CloudPassage Halo', 'Ermetic', 'InsightCloudSec', 'Lightspin', 'OpsCompass', 'Plerion', 'Qualys TotalCloud with FlexScan', 'Sonrai Security', 'Tencent Container Security Service', 'Upwind', 'Valtix', 'Warden', 'Zscaler Posture Control']"
Co-Managed Security Monitoring Services,https://www.gartner.com/reviews/market/co-managed-security-monitoring-services,"Gartner defines co-managed security monitoring as services that provide remote maintenance and monitoring of client-owned threat detection, investigation and response (TDIR) capable products. These services ensure availability and performance of the system, and assist with and provide professional services consultancy in a wide range of functions., such as Examples include the creation of use cases, detection engineering, configuration of APIs, data normalization and reporting content.
Co-managed security monitoring offers clients the ability to share management and responsibility for their TDIR platform monitoring in varying degrees. The types of services offered are divided into two main categories: (a) Monitoring and reaction to platform maintenance issues, (b) Real-time threat monitoring.",[]
Collaborative Work Management,https://www.gartner.com/reviews/market/collaborative-work-management,"Gartner defines the collaborative work management market as products that provide task-driven workspaces to enable end users to plan, coordinate and automate their work. These solutions provide user-friendly capabilities for work planning, in-context collaboration, content creation, workflow and automation, reporting, analytics and dashboards, as well as use-case accelerators on a platform that handles data management and administrative operations. Products in this market are defined by their purpose (work planning and execution), their target users and their broad functionality.","['Smartsheet', 'monday.com', 'Asana', 'Wrike', 'Trello', 'Airtable', 'ClickUp', 'Workfront', 'Notion', 'Profit.co', 'JIRA Work Management', 'Microsoft Planner', 'Planview AdaptiveWork', 'Planview ProjectPlace', 'Celoxis', 'Kissflow', 'Microsoft Project', 'Scoro', 'Atlassian Atlas', 'Slingshot', 'Hive', 'Lark', 'Teamwork', 'HCL Connections', 'MeisterTask', 'Podio', 'TaskRay', 'Easynote', 'Sciforma', 'Swit', 'Wimi', 'Workzone', 'Cerri Work', 'Clovine', 'Planio', 'Planisware Enterprise', 'Qatalog', 'Quickbase', 'Qvidian', 'Sensei IQ', 'Uppwise CWM']"
Colocation Providers,https://www.gartner.com/reviews/market/colocation-providers,"To address data center closures, consolidation, migrations as well as emerging core-to-edge initiatives, organizations look towards colocation providers to provide additional services besides the traditional space, power and cooling. Today, the lines of distinction between retail, wholesale and managed service providers are blurred by colocation providers offering additional services to address hybrid and digital transformation initiatives. Organizations use colocation services with data center interconnect fabrics to integrate multiple applications, data types and data sources in a secure, predictable, lower-latency fashion enabling digital business success.  In many cases, data centers are transforming into noncore, remote facilities relegated to non-x86 workloads and legacy applications. Some colocation providers offer interconnection services to enable edge-to-core digital objectives.","['Equinix Colocation Services', 'US Signal Colocation Services', 'TierPoint Colocation Services', 'NTT Communications Data Center', 'Expedient Colocation Services', 'INAP Colocation', 'Iron Mountain Colocation Services', 'Telehouse Colocation Services', 'CyrusOne Colocation Services', 'CDNetworks Colocation Services', 'Colt DCS Colocation Services', 'Cyxtera Colocation Services', 'Digital Realty Trust Colocation Services', 'Global Switch Colocation Services']"
Commercial Banking Cash Management and Trade Finance Solutions,https://www.gartner.com/reviews/market/commercial-banking-cash-management-and-trade-finance-solutions,"Gartner defines global banking cash management and trade finance solutions as capabilities that support end-to-end business and product processes, a consistent operating model, and client services in the corporate treasury and working capital domains. This could be a combination of architecture, software, product and/or service solutions integrated on a platform or as stand-alone software, systems and/or service solutions","['IBM Trade Finance Business Platform', 'iCashpro+']"
Commercial Loan Origination Solutions,https://www.gartner.com/reviews/market/commercial-loan-origination-solutions,"Gartner defines commercial loan origination solutions (CLOSs) as software applications that enable lending institutions to manage the end-to-end process of opening lending products, from application through underwriting and closing, for businesses of different sizes. These can be consumed as on-premises software, cloud-based SaaS, integrations and API, and white-labelled solutions. CLOSs are software solutions specifically designed to facilitate the evaluation, approval, settlement, and documentation of loans for businesses. These solutions serve as a centralized platform for lenders to assess business creditworthiness, collect and analyze financial information, automate document processing, and streamline the commercial lending process. The primary purpose of CLOSs includes activities such as processing loan applications, managing risk, managing collateral, and improving operational efficiency. These solutions offer solutions to problems such as lengthy approval processes, manual data entry, complex financial analysis, and cumbersome documentation requirements.","['NetOxygen LOS', 'Loan IQ', 'Finflux', 'FinnOne Neo Corporate Lending', 'LoanCatcher', 'LendingPad', 'Newgen Digital Loan Origination System', 'TurnKey Lender', 'Tietoevry Corporate Lending', 'Arttha', 'BusinessBANKER', 'FintechOS Platform', 'InteGREAT', 'Loan Origination System', 'Persistent Loan Origination System', 'VeriLoan', 'nCino Cloud Banking Platform']"
Communication Consulting & Implementation Services,https://www.gartner.com/reviews/market/communication-consulting-and-implementation-services,"Gartner defines these services as they deliver business and technology consulting, and application and infrastructure implementation for networking, mobility, security, and communications platform services. They tie communications services to enterprise IT, business processes and business value.",['AT&T Communication Consulting & Implementations Services']
Communications Platform as a Service,https://www.gartner.com/reviews/market/communications-platform-as-a-service,"Gartner defines communications platform as a service (CPaaS) as a cloud-based platform used by developers, the IT team and other nontechnical business roles to build an array of communications-related capabilities using APIs, SDKs, documentation and no-code/low-code visual builders. The CPaaS tools facilitate access to multiple communications channels spanning voice, SMS, email, messaging apps, video and conversational capabilities, along with security.","['Twilio Customer Engagement Platform', 'Vonage Communications APIs', 'Webex Connect', 'Infobip\xa0', 'Sinch', 'Mitel Summit', 'Exotel', 'Tanla Platforms Messaging', 'Airtel IQ', 'Kaleyra', 'Azure Communication Services', 'Bandwidth Communication APIs', 'AWS Communication Developer Services', 'Plivo', 'Tencent Real-Time Communication', 'Sonar', 'MessageBird Omnichannel Automation Platform', 'VidyoPlatform', 'Tencent Cloud Chat', 'Nylas', '8X8 Communication APIs', 'LINK Mobility Marketing Platform', 'Avochato', 'Jellyvision ALEX', 'Avaya Communications APIs', 'Nextiva Business Phone Service', 'Alvaria CXP', 'Conversational Engagement Platform', 'E-goi', 'Switchvox Cloud', 'Tanla Platforms Cloud Voice', 'DIGO', 'Aculab Cloud', 'Plum DEV', 'Clickatell Chat Commerce', 'Enreach Contact', 'Mitto', 'Rainbow', 'Syniverse CPaaS Concierge', 'Unifonic', 'Agora Advantage', 'Alibaba Cloud CPaaS Platform', 'Atmosphere CPaaS (Legacy)', 'BICs CPaaS Platform', 'CINNOX', 'CM.com Communications Platform', 'Cantoo', 'DANAconnect', 'Digital Samba', 'EnableX Communication APIs', 'Experia', 'Kandy', 'LINK Mobility Verify & Connect', 'MSG91', 'Messangi', 'MirrorFly', 'NGAGE Messaging Platform', 'Pypestream Platform', 'RouteMobile Cloud Communication APIs', 'Sense', 'Soprano CPaaS', 'Spring Edge', 'TeleCMI', 'TeleSign Omnichannel Experiences', 'Telnyx Communications Platform', 'The LeapXpert Communications Platform', 'Toku Contact Centre', 'Tropo\xa0(Legacy)', 'Trubloq', 'VoIP.ms', 'Voxology', 'Wisely', 'Xenio Conversational Platform', 'Zenvia APIs']"
"Community Development, Regulation and Licensing Applications",https://www.gartner.com/reviews/market/community-development-regulation-and-licensing-applications,"Gartner defines the market for community development and regulation applications as those in support of a vast list of government permissions and oversight activities, such as land management and community development. The solutions also support industry and professional regulatory functions typically found within state and local governments. CDR applications designed for community planning often include planning and zoning, construction permitting, plan review, and land management capabilities. They typically rely heavily on geographical information systems for visualizations of data.","['Salesforce Licensing', 'TRAKit', 'CDR', 'CityView', 'Cityworks', 'Civic Platform', 'Dynamics CRM (Legacy)', 'Online Application Submission (OAS)', 'Online Licensing and Permitting', 'POSSE ABC', 'Posse LMS', 'Tyler Enterprise State Regulatory', 'e-PlanCheck']"
Compensation Management Software,https://www.gartner.com/reviews/market/compensation-management-software,"Compensation management software empowers the HR team and managers to design well-thought compensation strategies by leveraging the streamlined employees' compensation data from one centralized system. The employee's data includes both monetary and non-monetary compensation. It also optimizes the allocated budget by administering and recommending compensation packages for employees in compliance with industry pay standards. The analytics and reporting feature generates statements for employees and builds robust visuals and dashboards to report key information like merit bonuses, sales incentives,   and pay equity through real time predictive analytics and insights. In addition, the seamless integration of compensation management solutions with existing HR and payroll systems streamlines the workflows. This software is widely used across multiple industries, including financial services, technology, legal, and more, to improve employee engagement, performance, and retention.","['beqom Total Compensation Software', 'CompTrak Compensation Management Software', 'Payfactors', 'HRSoft Compensation Management', 'Compport', 'CompAnalyst', 'CaptivateIQ', 'SimplyMerit', 'Pave Suite', 'CompAccelerator', 'Complogix Compensation Management', 'Decusoft Compose Suite']"
Competitive and Market Intelligence Tools for Technology and Service Providers,https://www.gartner.com/reviews/market/competitive-and-market-intelligence-tools-for-technology-and-service-providers,"Competitive and market intelligence tools allow organizations to track, collect, store, analyze, and disseminate information and insights about competitors, markets, and customers collected from internal and external sources, including but not limited to social media, websites, product information, and financial filings. Such tools provide a centralized platform for all market and competitive intelligence, which can be utilized by a range of stakeholders within the organization for their specific needs.","['AlphaSense', 'Klue', 'Kompyte', 'CI Radar', 'Ideagen Audit Analytics', 'SinglePoint', 'Sentieo', 'Contify', 'Wide Narrow', 'Intelligence2day', 'TechnoMile GovSearchAI Suite', 'Intelligence Plaza', 'NetVibes', 'FIBRES', 'WatchMyCompetitor']"
Composable Product Configurators,https://www.gartner.com/reviews/market/composable-product-configurators,"A product configurator supports the definition and ordering of complex products with customer-selectable options and features; rules that govern the choices available; and one or more dynamic, intuitive end-user experiences for selecting those options and features. A composable product configurator must be available for stand-alone purchase without other components of a quoting/ordering solution such as sales catalog, product search, document generation or shopping cart. It must support easy integration with both custom and commercial off-the-shelf (COTS) quoting and ordering solutions and self-service commerce.","['3D Cloud WebAR – Augmented Reality', '3D Product Configurator', 'Apparound', 'Marxent 3D Visual Product Configurator', 'Mercura', 'ShapeDiver', 'Threekit Visual Commerce']"
Computer-Aided Design (CAD) Software,https://www.gartner.com/reviews/market/cad-software,"Computer-Aided Design software is used by designers, engineers, architects, and drafters across several industries to create two-dimensional and three-dimensional models. These 2D and 3D models can be used to explore design ideas, visualize concepts and simulate the physical behavior of a design in the real world. The software provides in-built templates such as flowcharts, mind maps, wireframes, network diagrams, and org charts to create quality as well as detailed design models. The software also allows for instant changes to models enabling collaborative work between team members.","['AutoCAD', 'SketchUp', 'CATIA', 'PTC Creo', 'Solid Edge', 'TurboCAD', 'Onshape', 'Siemens NX', 'AutoCAD LT', 'Fusion 360', 'BricsCAD', 'Inventor', 'DraftSight', 'CAD Exchanger', 'MicroStation', 'VStitcher']"
"Configure, Price and Quote Application Suites",https://www.gartner.com/reviews/market/configure-price-quote-application-suites,"Gartner defines configure, price and quote (CPQ) applications as software that enables sales organizations to automate and optimize the creation of quotes and capture of orders.
A CPQ application is a sales tool that captures the new goods and services a customer wants to buy or the changes a customer wants to make to existing goods and services. While generally focused on assisted sales channels, CPQ capabilities such as product configuration and pricing must be shared with the self-service commerce channel. The new purchases and changes must be priced and a binding contract must be formed with the customer before sending an order to downstream fulfillment systems.","['Salesforce CPQ', 'Conga CPQ', 'PandaDoc', 'Revalize CPQ', 'Oracle CPQ', 'SAP CPQ', 'Infor CPQ', 'Oracle Order Management Cloud', 'PROS Smart Configure Price Quote', 'bit2win CPQ', 'Yagna Channel CPQ', 'Salesforce Industries CPQ', 'CloudSense Platform', 'Zuora CPQ', 'ConnectWise Sell', 'Epicor CPQ', 'Vendavo Intelligent CPQ', 'Tacton CPQ', 'QuoteWerks', 'Apparound', 'QuoteConfigurator', 'Telecom CPQ', 'e-Con CPQ', 'Etiya Configure Price Quote', 'Oracle Siebel Order Management', 'IBM Configure, Price, Quote (Legacy)', 'Model N CPQ', 'DealHub CPQ', 'Hansen CPQ', 'Experlogix CPQ', 'Netformx Application Suite', 'Vendavo Deal Manager', 'Verenia CPQ', 'Chikpea CPQ', 'Cincom CPQ', 'Zimit CPQ for Services', 'CET Designer', 'iQuoteXpress', 'DriveWorks Pro', 'Summium CPQ', 'servicePath', 'SolSuite CPQ', 'Datto Commerce', 'OneBill', 'Subskribe CPQ', 'Viamedici Smart Product Configuration (Legacy)', 'iQuote', 'HP Market Pro', 'Quotebooks (Legacy)', 'iQ Configure Price Quote', 'camos CPQ', 'BillingPlatform', 'CSG Configure, Price and Quote', 'CSG Encompass', 'Configit Quote', 'Determine Configurator (Legacy)', 'Emeldi Commerce', 'FJA CPQ', 'Gotransverse', 'In Mind Cloud', 'Marxent 3D Visual Product Configurator', 'Merlin CPQ', 'NetSuite CPQ', 'OneCPQ', 'Pricing & Quoting', 'Quoting & Contracting', 'ScaleFluidly', 'Speedmaxx', 'Supplyframe CPQ', 'Veloce CPQ', 'XaitCPQ', 'keylight']"
Conflict Check Software,https://www.gartner.com/reviews/market/conflict-check-software,"Conflict check software is a type of tool commonly used in legal and professional services to identify potential conflicts of interest before taking on a new case or client. This software helps to ensure that a firm or professional does not represent parties with conflicting interests in a legal matter, which could compromise their impartiality and ethical obligations. It analyzes various data sources such as client lists, case files, employee lists, personal interests, financial holdings and prior employment history. It also generates detailed reports highlighting potential conflicts and seamlessly integrates with existing client management systems, allowing for real-time checks. This software also helps law, accounting and consulting firms, financial institutions, govt agencies and non profit organizations reduce risk of ethical and legal violations, improve client confidentiality and improve overall efficiency.","['Conflict Of Interest Software', 'iManage Conflicts Manager', 'Intapp Conflicts', 'Smokeball', 'ALB Software', 'AbacusLaw', 'Actionstep', 'Amicus Attorney', 'CosmoLex', 'eIMMIGRATION']"
